Output:

2018-03-23 08:38:39	Starting iteration: 1/19. Stock: Aker Solutions. Sample size: 125 
2018-03-23 08:42:33		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 106/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:35		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 108/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:36		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 109/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:40		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 110/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:44		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 112/1553. Distribution: Generalized Error Distribution. Model: eGARCH(1011). Iterasjon fullført!
2018-03-23 08:42:45		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 115/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:49		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 111/1553. Distribution: Skewed Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:51		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 116/1553. Distribution: Generalized Error Distribution. Model: eGARCH(1111). Iterasjon fullført!
2018-03-23 08:42:51		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 113/1553. Distribution: Skewed Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:52		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 117/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:42:54		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 114/1553. Distribution: Skewed Generalized Error Distribution. Model: eGARCH(1011). Iterasjon fullført!
2018-03-23 08:42:58		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 119/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:01		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 120/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:01		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 121/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:02		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 122/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:06		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 123/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:07		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 124/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:09		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 118/1553. Distribution: Skewed Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:10		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 125/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:10		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 126/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:12		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 127/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:16		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 128/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(1111). Iterasjon fullført!
2018-03-23 08:43:16		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 129/1553. Distribution: Generalized Error Distribution. Model: eGARCH(1111). Iterasjon fullført!
2018-03-23 08:43:19		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 131/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(1111). Iterasjon fullført!
